,h,l,v,q,a,n,v5,q5,r,r5,a50,a100,a200,a500
BTC-USDT,59507.4,32918.7,22731264632.377,473968.70903221995,47959.4205254418,1756.0,5396585.183695057,145.92899193,416.9939066059227,220.7,38135.24870081672,37990.29635671026,37522.13226194045,38425.635208270694
ETH-USDT,4781.92,2158.04,17313769408.677998,4579591.94437377,3780.6358337119373,1756.0,6758829.045815088,2512.3846948299997,39.97624145785878,34.64399999999987,2733.8089971327713,2672.6780193754994,2562.0762678925166,2703.798173559516
LUNA-USDT,103.5566,30.0,14871427730.038631,215400799.27590257,69.04072677553121,1756.0,3364613.4891771176,69701.22583743799,1.3605064350797267,0.7298000000000002,51.30803074274698,49.87384573013283,53.50064355436129,63.838264127498014
FTM-USDT,3.38,0.8929,3914775841.314566,1789571232.3827782,2.1875496043273563,1756.0,1373110.2328787963,712811.7429677299,0.04596544988610477,0.022100000000000054,2.045937211242839,2.0386163629952736,2.158897048475551,2.4550033337618498
MATIC-USDT,2.9267,1.292,3728997931.220339,1730300356.1976063,2.1551159703942604,1756.0,348610.2999290897,225000.905370864,0.04143234624145786,0.017099999999999983,1.6259421674242676,1.6215562626315558,1.6267261494864258,1.8046584983285856
SAND-USDT,8.48951,2.56,3632136276.6699157,614885822.6276777,5.907009306456602,1756.0,424349.27618468285,115175.410171016,0.11500902050113897,0.06123400000000005,3.9067307762886045,3.9032762693458225,3.6226393430497645,3.802644520084213
XRP-USDT,1.07727,0.427,3486466556.4649177,4124496627.5169277,0.8453071662623414,1755.0,470780.4943207779,780064.192820162,0.01045843304843305,0.005227999999999988,0.6186196965999022,0.6099229928726027,0.6128018818311051,0.6603159161611516
SHIB-USDT,5.43e-05,1.703e-05,3367843513.9475384,93006480969938.11,3.621084766163882e-05,1756.0,295071.04191552574,14272163535.992071,5.915546697038725e-07,1.8199999999999927e-07,2.1405506544142636e-05,2.134293600436224e-05,2.1320331641489714e-05,2.3302564750124586e-05
AVAX-USDT,144.946,52.56,3191436109.530301,31664853.54904966,100.78796368303696,1756.0,1474648.3228118778,21543.928810998,1.8476030751708425,1.148400000000001,70.84175569258295,69.88227328217329,68.3222825471618,73.21145198152527
SOL-USDT,243.125,80.86,2595453534.594743,15646523.914450489,165.88052073327853,1755.0,1765948.5201310955,17495.54695119,2.6215999999999995,2.3705999999999987,107.3505412130141,103.68482514842277,98.86348555510692,108.22373775094285
MANA-USDT,5.91432,1.70444,2368693447.5730624,611536476.284209,3.87334777144548,1756.0,382630.59831460135,149975.59077935803,0.0720060535307517,0.04881000000000011,2.704248151837573,2.621607174632821,2.443082900567562,2.491901561801829
DOT-USDT,43.5733,15.8356,2325832775.144543,82321540.001091,28.253028005959546,1756.0,423714.95539124374,22488.982655769996,0.4416755125284738,0.2647999999999996,19.60819497272567,19.027481101562945,18.670273730613356,21.685204673792573
KDA-USDT,21.2497,4.3828,2234184093.341427,188379039.5580479,11.860046099518286,1756.0,166384.27879877886,29756.551010978,0.3459117881548975,0.06487999999999997,6.001734314906678,5.991750919804843,5.9056612052697055,6.518283880012563
CRO-USDT,0.9752,0.3251,2194519018.405234,3271428676.7098637,0.6708136521601633,1756.0,72661.73634141652,180429.405931336,0.008953986332574031,0.0037399999999999877,0.4229385905193703,0.42331319371456255,0.4123920147385608,0.41377298605840396
ADA-USDT,1.876759,0.885,2082753333.221166,1503790397.99762,1.3850024152265281,1756.0,397704.7164150346,384920.640056166,0.018601776195899766,0.009699599999999942,1.0619733252925092,1.0520107786219064,1.0582388872193498,1.2246545259682635
ATOM-USDT,44.3889,20.182,1896731103.8098445,61240276.0559391,30.97195548363141,1756.0,701711.9920277706,26599.479669598,0.5856452733485195,0.34099999999999964,28.319929887124463,27.89943069653703,30.14712581597082,33.732642349334164
BNB-USDT,658.0,320.0,1758503413.396771,3259665.5086239297,539.4735775018598,1756.0,253872.89567708736,688.45717885,5.195697608200458,3.134400000000005,379.5474913972559,379.29194365251624,381.66216178237937,411.17033608903944
VRA-USDT,0.07,0.0173269,1741181513.1409686,46004917115.92199,0.03784772633659104,1756.0,279265.6315991195,14699171.886329463,0.000961188513667426,0.0003111960000000011,0.019807784417936163,0.019739951905570277,0.019978772038403172,0.023386077342313433
ROSE-USDT,0.5962,0.17,1439148688.8354168,4190139264.9865346,0.343460825004355,1756.0,337623.9283295963,1027615.25669023,0.009279743735763098,0.005559999999999998,0.3329831321897248,0.3257976650568621,0.32352662013151556,0.4041779521114422
BLOK-USDT,0.148,0.02301,1430844503.507401,17529744236.51584,0.08162380946362235,1755.0,56896.61950714805,2040704.8744150798,0.0016718723646723644,0.0003158000000000001,0.030017799290146776,0.02966814465381489,0.029343530916750155,0.030919793755919037
NEAR-USDT,22.0,5.6,1392210194.4009168,112591372.62004358,12.365158732891004,1755.0,458028.64870616875,40995.230439024,0.2659931623931624,0.19132,11.327783967638725,11.079654624539014,11.218252268531108,13.793313354320011
GALAX-USDT,0.8455,0.15414,1275410524.2743073,2387892085.4813356,0.5341156461922852,1755.0,23222.76021890639,123786.94658790599,0.010968928774928775,0.003051999999999999,0.2006188462543474,0.19774124569989912,0.19827188364977308,0.22528130812992417
ONE-USDT,0.379025,0.115,1226475270.6328063,4871753425.003087,0.2517523289126705,1756.0,137851.73973037448,779094.25633534,0.00503928416856492,0.002316199999999996,0.18656990814703983,0.18561141446364954,0.18667539076272352,0.24793429891595983
LINK-USDT,29.2462,5.5,1183993073.8959618,53608763.118940145,22.085812188374355,1756.0,345741.45792326814,21797.744064668,0.35960244874715264,0.22694000000000117,16.819544434665353,17.03757444575478,16.32181071365253,18.787333934735106
KCS-USDT,28.776,13.4,1152233580.5601718,51728279.919108264,22.274732165113814,1756.0,87528.1240617465,4915.843448616,0.2622921412300684,0.11399999999999935,18.123368073593866,17.726042335963857,16.87467329189481,17.443320517956927
DOGE-USDT,0.23699,0.11738,1073603219.4781245,5885025987.051752,0.18242964803218692,1756.0,144630.37467565975,1047839.53287287,0.0024162585421412305,0.0011019999999999975,0.14209094298282465,0.14141802931405997,0.14301198029289572,0.16449160140141175
USDC-USDT,1.05904,0.97432,954314799.3476189,954790150.136971,0.9995021410837933,1756.0,93468.92783599984,93517.532925466,0.0004962756264236913,9.999999999998898e-06,0.9994695997191486,0.9995241525060465,0.9996507094942444,0.9996254286176325
