,tlast,hh,vv,ll,qlast,vlast,qq,vv,a,,,,
ETH-USDT,1643871600,4612.89,5559608.279,2158.04,305244409.9,113187.4919,18777917971,5559608.279,3377.561337,,,,
BTC-USDT,1643871600,57024.6,576961.2214,32918.7,295382453.8,7885.621777,25354193451,576961.2214,43944.36318,,,,
LUNA-USDT,1643871600,102.5848,260334728.3,30,172496825.5,3477685.548,18486690441,260334728.3,71.01123452,,,,
SOL-USDT,1643871600,242.159,19292914.67,80.81,82129039.58,786671.1466,2756248603,19292914.67,142.8632558,,,,
FTM-USDT,1643871600,3.30814,2592756932,0.8929,65537490.61,33132612.29,6003994303,2592756932,2.315679587,,,,
AVAX-USDT,1643871600,125.876,33525552.86,52.56,53159890.48,759455.657,3032064396,33525552.86,90.44039955,,,,
ATOM-USDT,1643871600,43.6516,94398290.25,20.182,40253016.82,1482799.637,3092128492,94398290.25,32.7561917,,,,
NEAR-USDT,1643871600,20.2985,152627218.2,5.6,33332236.29,2954315.169,2008991444,152627218.2,13.16273381,,,,
MATIC-USDT,1643871600,2.898,1954326728,1.292,29084341.5,18502832.5,4173344946,1954326728,2.135438709,,,,
XRP-USDT,1643871600,1.0111,4185449936,0.427,23943091.21,39220795.5,3309157420,4185449936,0.790633617,,,,
ADA-USDT,1643871600,1.734379,1854899448,0.885,22678969.25,21680795.99,2389113447,1854899448,1.288001595,,1643875126,3526,58.76666667
DOT-USDT,1643871600,36.4772,99241472.41,15.8175,22079910.19,1146564.696,2537156870,99241472.41,25.56548999,,,,
RNDR-USDT,1643871600,6.5355,160737590.3,1.8,21366756.08,5888416.513,655585464.2,160737590.3,4.07860702,,,,
ROSE-USDT,1643871600,0.59149,4405547616,0.17,21266483.31,63852479.64,1578226953,4405547616,0.358236272,,,,
PYR-USDT,1643871600,41.0925,46099154.84,6.6,19610934.05,1567455.815,787687041.6,46099154.84,17.08680006,,,,
SHIB-USDT,1643871600,4.42E-05,8.35311E+13,1.70E-05,17838600.68,8.53587E+11,2535065848,8.35311E+13,3.03E-05,,,,
BNB-USDT,1643871600,624.837,3443377.308,320,16006018.3,42968.2283,1678187355,3443377.308,487.3666765,,,,
LINK-USDT,1643871600,28.536,77287508.18,5.5,15962108.48,983928.8252,1664289500,77287508.18,21.53374509,,,,
SAND-USDT,1643871600,6.8465,402165655.5,2.56,15501149.77,4118870.711,2035920697,402165655.5,5.062393242,,,,
MANA-USDT,1643871600,4.41064,477499572.5,1.70444,15012735.03,5819970.54,1514330813,477499572.5,3.17137627,,,,
QNT-USDT,1643871600,220.498,2992397.033,83.539,14048852.57,119586.9287,461773074.2,2992397.033,154.3154432,,,,
VRA-USDT,1643871600,0.05507026,57583729222,0.0173269,13691230.14,707684095.3,1785501312,57583729222,0.031007046,,,,
KDA-USDT,1643871600,16.6637,214715187.5,4.3828,12559702.05,2201377.459,2127007284,214715187.5,9.906179943,,,,
